Region,Continent,Location
"Europe and Africa",Africa,Algeria
"Europe and Africa",Africa,Angola
"Europe and Africa",Africa,Benin
"Europe and Africa",Africa,Botswana
"Europe and Africa",Africa,Burkina
"Europe and Africa",Africa,Burundi
"Europe and Africa",Africa,Cameroon
"Europe and Africa",Africa,Cape Verde
"Europe and Africa",Africa,Central African Republic
"Europe and Africa",Africa,Chad
"Europe and Africa",Africa,Comoros
"Europe and Africa",Africa,Congo
"Europe and Africa",Africa,"Congo, Democratic Republic of"
"Europe and Africa",Africa,Djibouti
"Europe and Africa",Africa,Egypt
"Europe and Africa",Africa,Equatorial Guinea
"Europe and Africa",Africa,Eritrea
"Europe and Africa",Africa,Ethiopia
"Europe and Africa",Africa,Gabon
"Europe and Africa",Africa,Gambia
"Europe and Africa",Africa,Ghana
"Europe and Africa",Africa,Guinea
"Europe and Africa",Africa,Guinea-Bissau
"Europe and Africa",Africa,Ivory Coast
"Europe and Africa",Africa,Kenya
"Europe and Africa",Africa,Lesotho
"Europe and Africa",Africa,Liberia
"Europe and Africa",Africa,Libya
"Europe and Africa",Africa,Madagascar
"Europe and Africa",Africa,Malawi
"Europe and Africa",Africa,Mali
"Europe and Africa",Africa,Mauritania
"Europe and Africa",Africa,Mauritius
"Europe and Africa",Africa,Morocco
"Europe and Africa",Africa,Mozambique
"Europe and Africa",Africa,Namibia
"Europe and Africa",Africa,Niger
"Europe and Africa",Africa,Nigeria
"Europe and Africa",Africa,Rwanda
"Europe and Africa",Africa,Sao Tome and Principe
"Europe and Africa",Africa,Senegal
"Europe and Africa",Africa,Seychelles
"Europe and Africa",Africa,Sierra Leone
"Europe and Africa",Africa,Somalia
"Europe and Africa",Africa,South Africa
"Europe and Africa",Africa,South Sudan
"Europe and Africa",Africa,Sudan
"Europe and Africa",Africa,Swaziland
"Europe and Africa",Africa,Tanzania
"Europe and Africa",Africa,Togo
"Europe and Africa",Africa,Tunisia
"Europe and Africa",Africa,Uganda
"Europe and Africa",Africa,Zambia
"Europe and Africa",Africa,Zimbabwe
"Asia-Pacific",Asia,Afghanistan
"Asia-Pacific",Asia,Bahrain
"Asia-Pacific",Asia,Bangladesh
"Asia-Pacific",Asia,Bhutan
"Asia-Pacific",Asia,Brunei
"Asia-Pacific",Asia,Burma (Myanmar)
"Asia-Pacific",Asia,Cambodia
"Asia-Pacific",Asia,China
"Asia-Pacific",Asia,East Timor
"Asia-Pacific",Asia,India
"Asia-Pacific",Asia,Indonesia
"Asia-Pacific",Asia,Iran
"Asia-Pacific",Asia,Iraq
"Asia-Pacific",Asia,Israel
"Asia-Pacific",Asia,Japan
"Asia-Pacific",Asia,Jordan
"Asia-Pacific",Asia,Kazakhstan
"Asia-Pacific",Asia,"Korea, North"
"Asia-Pacific",Asia,"Korea, South"
"Asia-Pacific",Asia,Kuwait
"Asia-Pacific",Asia,Kyrgyzstan
"Asia-Pacific",Asia,Laos
"Asia-Pacific",Asia,Lebanon
"Asia-Pacific",Asia,Malaysia
"Asia-Pacific",Asia,Maldives
"Asia-Pacific",Asia,Mongolia
"Asia-Pacific",Asia,Nepal
"Asia-Pacific",Asia,Oman
"Asia-Pacific",Asia,Pakistan
"Asia-Pacific",Asia,Philippines
"Asia-Pacific",Asia,Qatar
"Asia-Pacific",Asia,Russia
"Asia-Pacific",Asia,Saudi Arabia
"Asia-Pacific",Asia,Singapore
"Asia-Pacific",Asia,South Korea
"Asia-Pacific",Asia,Sri Lanka
"Asia-Pacific",Asia,Syria
"Asia-Pacific",Asia,Taiwan
"Asia-Pacific",Asia,Tajikistan
"Asia-Pacific",Asia,Thailand
"Asia-Pacific",Asia,Turkey
"Asia-Pacific",Asia,Turkmenistan
"Asia-Pacific",Asia,United Arab Emirates
"Asia-Pacific",Asia,Uzbekistan
"Asia-Pacific",Asia,Vietnam
"Asia-Pacific",Asia,Yemen
"Europe and Africa",Europe,Albania
"Europe and Africa",Europe,Andorra
"Europe and Africa",Europe,Armenia
"Europe and Africa",Europe,Austria
"Europe and Africa",Europe,Azerbaijan
"Europe and Africa",Europe,Belarus
"Europe and Africa",Europe,Belgium
"Europe and Africa",Europe,Bosnia and Herzegovina
"Europe and Africa",Europe,Bulgaria
"Europe and Africa",Europe,Croatia
"Europe and Africa",Europe,Cyprus
"Europe and Africa",Europe,CZ
"Europe and Africa",Europe,Denmark
"Europe and Africa",Europe,Estonia
"Europe and Africa",Europe,Finland
