iso,dec40target,securedvaccineofpopulation,deliveredpopulation,donationsoftotal,utilrate_lag,informcovid19risk,vaccine_willingness_monthly,h7_vaccinationpolicy,stringencyindex,uhc,casescumulativetotalper100000pop,casesnewlyreportedinlast7daysper,deathscumulativetotalper100000po,total_vaccinations_per100,persons_vaccinated_1plus_dose_pe,persons_fully_vaccinated_per100,total_boosters_per_hundred,first_vaccine_date,number_vaccines_types_used
ABW,1,,172.85,,91.026642,,,5,28.700001,,31673.941,79.612999,198.565,157.588,82.039001,75.547997,,44244,2
AFG,0,132.802673339843,32.56,28.526457,,6.8,76.8,1,19.440001,37,455.172,2.0090001,19.662001,14.722,13.015,11.31,,44249,4
AGO,0,192.505386352539,111.23,4.027092,45.734104,5.6,97.0999999999999,5,60.189999,40,301.25101,0.23999999,5.7810001,52.521999,33.729,17.917,0.81,44265,1
AIA,1,,,,,,,,,,17291.027,133.31599,59.992001,149.44701,69.584,63.737999,16.459999,44232,2
ALA,,,,,,,,,,,,,,,,,,,
ALB,1,124.109184265136,104.73,11.997212,92.069122,4.2,85.5,5,46.299999,59,9490.2363,14.629,121.204,95.300003,45.347,42.388,8.7799997,44209,5
AND,1,202.526046752929,,,,,85.0999999999999,5,16.67,,50778.488,569.46899,198.02,195.8,75.882004,69.970001,31.969999,44216,3
ARE,1,267.791015625,268,,91.588493,2.5,97.0999999999999,5,35.189999,76,8979.1094,23.931999,23.275,246.522,101.018,97.735001,49.279999,44179,5
ARG,1,284.889068603515,229.89,3.7198398,91.432266,3.4,95.3,5,31.48,76,19938.518,78.078003,282.32501,209.36,90.141998,80.982002,40.419998,44194,7
ARM,0,106.006210327148,76.19,39.055161,90.324608,3.6,80.9,,,69,14253.144,9.382,290.25699,68.900002,37.145,31.027,0.63999999,44363,5
ASM,,,,,,,,,,,2818.9939,1702.991,0,160.15199,77.271004,69.311996,,44186,3
ATA,,,,,,,,,,,,,,,,,,,
ATF,,,,,,,,,,,,,,,,,,,
ATG,1,250.536834716796,247.9,59.796444,58.878571,3.6,81.9,,,73,7631.0391,7.1479998,137.855,127.675,65.051003,62.624001,,44256,6
AUS,1,990.039855957031,248.3,,86.127235,2.1,93.0999999999999,5,54.169998,87,14733.2,2135.2209,22.493999,216.272,86.787003,81.233002,48.459999,44248,5
AUT,1,628.935974121093,375.16,,57.400234,3,82.9,5,43.52,79,39751.258,3577.033,165.60899,201.5,76.449997,73.842003,56.080002,44195,4
AZE,1,142.957153320312,143.15,1.0249602,91.864594,4,89.8,5,60.189999,65,7806.4639,6.8150001,95.264,126.8,52.5,47.241001,29.450001,44216,4
BDI,0,124.07982635498,6.55,62.287365,1.5155762,6.5,66.4,3,25,42,322.70401,0.78200001,0.126,0.102,0.086999997,0.082999997,,44487,1
BEL,1,628.935974121093,218.3,,97.452194,2.8,90,5,23.15,84,32362.461,459.53799,265.35199,214.8,79.969002,78.857002,62.580002,44195,4
BEN,0,84.4446105957031,31.51,2.5488617,78.006256,5.8,86.3,5,55.560001,40,222.31799,3.1099999,1.345,25.243999,22.909,18.264999,,44284,5
BES,1,,,,,,,,,,33229.738,0,133.875,28.441,22.034,11.41,,44249,2
BFA,0,121.860717773437,29.07,6.4008131,37.6833,6.3,69,5,13.89,40,99.568001,0.29699999,1.813,11.266,10.182,5.6230001,,44349,3
BGD,1,275.214965820312,281.19,5.9359241,48.487057,5.2,98.9,5,31.48,48,1184.4871,0.47499999,17.68,134.74899,76.641998,54.898998,3.9000001,44223,8
BGR,0,628.935974121093,126.4,,51.769962,3.7,62.6,5,44.439999,66,16200.085,158.44099,522.62201,62,29.895,29.381001,10.33,44195,4
BHR,1,212.372451782226,214.57,2.6657305,92.047791,3.9,99.0999999999999,5,38.889999,77,32073.873,409.444,86.097,200.849,72.417,71.414001,54.380001,44139,8
BHS,0,163.821380615234,137.38,58.382851,60.731552,3.9,88.0999999999999,5,62.959999,75,8447.9355,5.3400002,200.13,84.211998,41.73,39.446999,6.02,44269,4
BIH,0,124.226470947265,85.22,83.291626,69.21492,4.2,73.9,5,36.110001,61,11408.019,27.950001,477.83899,58.700001,28.754999,25.789,3.6900001,,4
BLM,,,,,,,,,,,38492.664,424.88599,40.465,,,,,,
BLR,1,124.056465148925,124.06,25.693949,94.298698,3.8,64.5999999999999,4,23.15,76,10072.237,99.732002,71.190002,116.9,60.145,54.046001,2.9200001,44230,2
BLZ,1,240.995941162109,201.09,62.161957,56.850403,3.8,95.5,5,54.630001,64,14370.97,27.413,164.47501,116.416,59.145,52.280998,10.3,44256,5
BMU,1,,223.09,,91.517921,,,5,44.439999,,19420.938,313.13699,202.33501,202.214,76.733002,74.470001,51.509998,44207,2
BOL,1,245.237533569335,192.97,15.984922,55.958176,4.9,93.8,5,50,68,7708.2622,15.566,184.03999,109.462,59.851002,48.679001,11.56,44226,6
BRA,1,279.288452148437,243.56,1.000878,73.802574,3.5,95.9,5,69.910004,79,13939.859,123.122,309.186,180.379,82.376999,71.349998,34.529999,44213,5
BRB,1,178.041625976562,178.04,71.724892,69.808777,4,77.7,5,42.59,77,20089.777,247.064,113.789,124.431,55.868,52.272999,,44204,5
BRN,1,259.498962402343,259.5,30.721537,94.007935,3.1,74.0999999999999,5,57.41,81,28826.299,2683.1001,32.001999,242.71899,93.233002,92.527,26.799999,44289,5
