iso_code,description
ALB,"Albania (Albanian: Shqipëria) is a country in the Balkans with unspoiled beaches, mountainous landscapes, traditional cuisine, archaeological artifacts, unique traditions, low prices and the wild atmosphere of the countryside. It is one of the sunniest countries in Europe. The country has an extensive archaeological heritage; it was part of Ancient Greece, the Roman Empire and the Ottoman Empire until its first declaration of independence in 1912, becoming a kingdom and then a communist dictatorship before becoming a democratic republic. Albania is one of the few majority Muslim nations in Europe."
DZA,"Algeria (Arabic: الجزائر, French: Algérie) is a country in North Africa on the Mediterranean. The largest country in Africa, it has a fantastic diversity of landscapes, an extremely rich cultural legacy (boasting no less than 7 World Heritage sites), and beautiful beaches. Algeria is overlooked by many travellers, but if you do intend to visit, know that there are a great number of opportunities in this relatively unexplored country."
ARG,"Argentina is a large country in the southern part of South America. It offers a great diversity of climates and landscapes from jungles in the north, great grass plains in the centre and frozen mountains in the south."
ARM,"Armenia (Armenian: Հայաստան Hayastan) is a landlocked country in the Caucasus. Once the center of an empire, this former Soviet republic straddles the line between Europe and Asia. Armenia has a rich, ancient history, and it is most famously known for being the first country in the world to adopt Christianity as an official religion."
AUT,"Austria (German: Österreich, literally ""the Eastern Realm"" or ""Eastern Empire"") is a landlocked alpine German-speaking country in Central Europe. Austria, along with neighbouring Switzerland, is the winter sports centre of Europe. However, it is just as popular for summer tourists who visit its historic cities and villages and hike in the magnificent scenery of the Alps."
AZE,"Azerbaijan (Azerbaijani: Azərbaycan) is a former Soviet republic in the Caucasus and variously considered part of Europe or Asia. It is nicknamed the Land of Fire. Initially a part of the Persian Empire, the country was ceded to the Russian Empire in the late 19th century."
BHR,"The Kingdom of Bahrain (Arabic: البحرين‎, al-Baḥrayn) is a Middle Eastern archipelago in the Persian Gulf, tucked into a pocket of the sea flanked by Saudi Arabia and Qatar. It displays relative social liberalism compared with more conservative neighbouring countries, where Islamic law is applied in a much stricter way. Case in point: alcohol is legal here. Although Bahrain has a heavily petroleum-based economy, its political, social, and cultural peculiarities helped it develop a fairly cosmopolitan middle class and a politically conscious working class."
BGD,"The People's Republic of Bangladesh (Bengali: গণপ্রজাতন্ত্রী বাংলাদেশ, Gônôprôjatôntri Bangladesh) is a nation in South Asia, on the edge of the Indian subcontinent. It is nearly completely surrounded by India, but it also has a small land border with Myanmar.  Bangladesh is one of the most homogenous countries in the world; Bengalis make up 98% of the population, and the country is believed to have the world's highest population density. The vast majority of Bengalis (nearly 90%) in Bangladesh are Sunni Muslims and the country has one of the largest Muslim populations the world.  Formerly a part of the British Empire and India, Bangladesh became a part of Pakistan during the partition of India, and in the 1970s, it became an independent nation. The country is endowed with pristine beaches, numerous archaeological sites, bustling markets, numerous sites of religious importance, forests, delicious food, and more importantly, hospitable and friendly people. There's plenty to do in this small, densely populated country."
BRB,"Barbados is an island in the Caribbean region, but which lies out in the Atlantic many miles east of the Caribbean Sea. Its nearest neighbours, some 100 miles (160 km) west, are Saint Vincent and Saint Lucia, part of the arc of the Lesser Antilles that separate Atlantic and Caribbean. Those islands look like and are a partly-submerged chain of mountains. By contrast Barbados has formed from deposits of coral and has a gentler landscape. It's fertile, and is sometimes called ""Bimshire"" or the ""Little Britain"" of the Caribbean because of its long and uniquely unbroken history of British colonisation and settlement. It became independent in 1966 and tourism is nowadays its main industry."
