Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin
Argentina,ARG,2020-12-29,0,2,3,0,20481,0,1,0,0,0
Argentina,ARG,2020-12-30,0,2,3,0,40583,0,1,0,0,0
Argentina,ARG,2020-12-31,0,2,3,0,43388,0,1,0,0,0
Argentina,ARG,2021-01-01,0,2,5,0,43513,0,1,0,0,0
Argentina,ARG,2021-01-02,0,2,6,0,46824,0,1,0,0,0
Argentina,ARG,2021-01-03,0,2,6,0,47266,0,1,0,0,0
Argentina,ARG,2021-01-04,0,2,6,0,57726,0,1,0,0,0
Argentina,ARG,2021-01-05,0,2,6,0,68445,0,5,0,0,0
Argentina,ARG,2021-01-06,0,2,6,0,78551,0,8,0,0,0
Argentina,ARG,2021-01-07,0,2,7,0,96771,0,8,0,0,0
Argentina,ARG,2021-01-08,0,2,7,0,124652,0,8,0,0,0
Argentina,ARG,2021-01-09,0,2,7,0,134860,0,9,0,0,0
Argentina,ARG,2021-01-10,0,2,7,0,136034,0,10,0,0,0
Argentina,ARG,2021-01-11,0,2,8,0,155855,0,11,0,0,0
Argentina,ARG,2021-01-12,0,2,8,0,175238,0,14,0,0,0
Argentina,ARG,2021-01-13,0,2,8,0,192000,0,18,0,0,0
Argentina,ARG,2021-01-14,0,2,8,0,208645,0,19,0,0,0
Argentina,ARG,2021-01-15,0,2,8,0,226080,0,19,0,0,0
Argentina,ARG,2021-01-16,0,2,8,0,231963,0,19,0,0,0
Argentina,ARG,2021-01-17,0,2,8,0,233024,0,19,0,0,0
Argentina,ARG,2021-01-18,0,2,8,0,242855,0,19,0,0,0
Argentina,ARG,2021-01-19,0,2,8,0,256101,0,20,0,0,0
Argentina,ARG,2021-01-20,0,2,8,0,275521,0,20,0,0,0
Argentina,ARG,2021-01-21,0,2,13,0,289628,0,22,0,0,0
Argentina,ARG,2021-01-22,0,2,16,0,298838,0,23,0,0,0
Argentina,ARG,2021-01-23,0,2,21,0,302777,0,23,0,0,0
