Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2017,2019
AGO,Angola,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,2.6,,2.74
AGO,Angola,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,139,,134
AGO,Angola,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,3.23,,3.44
AGO,Angola,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,136,,133
AGO,Angola,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,3.21,,3.66
AGO,Angola,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,140,,128
AGO,Angola,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,2.15,,2.14
AGO,Angola,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,134,,126
AGO,Angola,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,1.79,,1.7
AGO,Angola,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,115,,124
AGO,Angola,3534,"WEF Business environment, 1-7 (best)",Value,3.03,,3.53
AGO,Angola,3535,"WEF Business environment, 1-7 (best)",Rank,136,,130
AGO,Angola,3536,"WEF Safety and security pillar, 1-7 (best)",Value,4.73,,5.01
AGO,Angola,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,103,,104
AGO,Angola,3538,"WEF Health and hygiene, 1-7 (best)",Value,3.23,,3.16
AGO,Angola,3539,"WEF Health and hygiene, 1-7 (best)",Rank,123,,120
AGO,Angola,3540,"WEF Human resources and labour market, 1-7 (best)",Value,2.79,,3.16
AGO,Angola,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,139,,137
AGO,Angola,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,2.37,,2.32
AGO,Angola,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,125,,132
AGO,Angola,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,2.67,,3.29
