iso_code,amusementparks,nightlife,beaches,camping,exploringnature,eatingout,museums,showstheatresandmusic,wellness,zoos
ALB,4.4492461793236195,6.428535585594581,6.743254731663442,6.001845031033503,7.889705727152457,6.955124168598202,8.254671724286275,6.2116294817893,2.673886405910632,6.60758260201697
DZA,5.737166613619093,5.119540227643691,7.026973712043589,0.7624682839733954,7.57864965155064,5.853298503564958,8.30950153753982,5.896061331566636,1.215956102821293,5.433291664568886
ARG,8.053781414826112,7.940064115477821,7.9134915661929295,6.400786173902814,8.69110459260763,7.714387781560779,9.410993864629562,8.175520300779532,5.916516369430136,7.074124313106931
ARM,5.750396641228471,6.35612020703143,3.708461265594844,3.243830278007197,7.518257370719106,6.9577898081894185,8.544228369000587,6.631287174514677,2.447661788428397,7.852143588893621
AUT,7.090766255698471,8.245214504599984,4.305523584083173,6.4150402472234,9.319644884020631,8.877157550616301,9.714141956370351,8.593715141618077,6.15532456660521,8.325089850716703
AZE,4.745952106010257,5.79315960124127,5.006531159002744,0.9731483323011884,7.354419321227597,6.221639342393067,8.210318291626923,7.584006797572093,2.038019929940047,5.334880128996733
BHR,6.794154636071838,5.575416769251065,6.682419004571489,0.2290524700058132,2.8187625485618115,6.484644749212379,6.421704949926768,7.464352831010383,1.0962910702397524,5.1302210603446845
BGD,6.201562327729654,5.061825350794532,6.930747447592106,0.6816645234616567,8.17770053274715,6.765934915604881,8.610433057299005,5.005727685346714,0.2261543972469091,6.773206367435771
BRB,5.857995833296677,5.138715817503234,6.825885185571819,0.0,8.838779299608209,6.279733290702966,5.746186083243051,0.0,4.244362334727153,0.0
BEL,8.347207062224106,8.304060808320525,5.791693710349721,6.299929080052301,8.409688355087539,8.026499617425475,9.329704963326858,7.704264155239004,6.087092251948708,7.31694182848371
BOL,4.892257476903713,6.327838814806833,4.0185429835275945,4.311763891425512,8.430115795653787,7.097872879316876,7.751038880823386,5.72194104479168,0.2936454994667756,5.154808483118909
BWA,3.804075961298063,5.099650588617011,0.0,6.336947674986493,6.346398965406717,5.90844895197589,6.409118454064802,3.4259898337135604,0.0,5.296430320140088
BRA,8.078441805496919,8.888871215012358,9.63977174627396,6.159007990717067,9.250862462031806,7.597148302709583,9.572951438266449,8.740458496725596,6.16877938727864,7.979089914152859
BGR,6.246524281916806,6.903794690885068,6.958173723076764,4.902572042022333,9.154898613525749,7.144449879465127,8.79824162357979,7.798454297258172,5.204865281767729,6.947492609657712
KHM,4.927994518847732,6.187761013224909,7.569176521421714,1.7983211223681792,7.483305849541873,7.135538177065437,7.698794366978462,4.71415007643203,6.254409383107414,6.090501001964463
CMR,4.312073509301227,5.2854708758080395,4.262209834261598,0.3515855136201917,7.9061262488981505,5.986590186192929,6.555822460548862,3.716783316560868,0.0,5.858586047251869
CAN,8.571194377632251,9.06185627607116,8.379264527345304,6.351374184229898,9.636896351670764,9.810154008185505,9.821202747642994,8.239423439699076,6.167747826984764,9.234350513421289
CHL,6.639819487371505,7.108619988722095,8.217463109639837,6.093607527159569,9.184885245465516,7.541386414413652,8.839631003681728,6.915796337493878,5.932844607306388,6.016232045821899
CHN,9.08425534759742,8.490049742194648,7.731224786262543,4.372112641492392,9.180723123689951,9.461766253210516,9.818665346642993,8.514366874695508,5.658365556199928,8.825157777413775
COL,7.590573658111944,7.2451480819485665,7.894514457184062,5.929356639852326,8.648517568514468,7.469869180742327,9.060521848157826,7.25054999936356,6.032310251138571,7.300188840561838
HRV,6.542416194917798,7.3762581397152065,7.780275857050055,6.22355324381276,8.659499413638555,7.05201638421573,9.141094617432492,7.698337228327109,3.714895311146154,6.971778677439806
CYP,5.675688301724107,5.8962342403043095,7.62322906768286,2.5369768333106344,6.986693429452804,6.818092237839156,7.724794803099789,5.6990326355765895,5.175624679353616,5.049874357512516
DNK,8.281398883739348,8.317257910475352,7.997157471739278,6.014211804900988,8.368280948696492,8.826331214618024,9.451380823015269,8.218493724341654,2.435876684274884,8.454175686320891
ECU,5.710650715851589,6.795738754881481,7.5627395852528,5.39898248539399,8.555259945389444,7.496467911715731,8.247372758642241,6.2663983781865324,2.326448437024845,6.58963893631214
EGY,5.026296438509428,6.3458346084771,6.836018322896306,3.387928145344597,7.254227126187324,6.821104913319467,8.647474921718352,6.4299313874455715,5.4801589910827175,5.903962877702628
