,iso_code,location
0,ALB,Albania
761,DZA,Algeria
1522,ARG,Argentina
2338,ARM,Armenia
3912,AUT,Austria
4673,AZE,Azerbaijan
5429,BHR,Bahrain
6191,BGD,Bangladesh
6940,BRB,Barbados
7680,BEL,Belgium
8462,BOL,Bolivia
9208,BWA,Botswana
9935,BRA,Brazil
10695,BGR,Bulgaria
11444,KHM,Cambodia
12234,CMR,Cameroon
12985,CAN,Canada
13779,CHL,Chile
14542,CHN,China
15337,COL,Colombia
16088,CRI,Costa Rica
16839,HRV,Croatia
17600,CYP,Cyprus
18349,DNK,Denmark
19133,DOM,Dominican Republic
19889,ECU,Ecuador
20645,EGY,Egypt
21417,SLV,El Salvador
22155,EST,Estonia
22938,ETH,Ethiopia
23682,FIN,Finland
24470,FRA,France
25263,GEO,Georgia
26023,DEU,Germany
26813,GHA,Ghana
27556,GRC,Greece
28319,GTM,Guatemala
29088,HND,Honduras
29834,HKG,Hong Kong
30628,HUN,Hungary
31382,ISL,Iceland
32140,IND,India
32927,IDN,Indonesia
33682,IRN,Iran
34449,IRL,Ireland
35206,ISR,Israel
35972,ITA,Italy
36758,JAM,Jamaica
37504,JPN,Japan
38299,JOR,Jordan
39053,KAZ,Kazakhstan
39797,KEN,Kenya
40548,KWT,Kuwait
41310,LVA,Latvia
42070,LBN,Lebanon
42835,LTU,Lithuania
43592,LUX,Luxembourg
44354,MYS,Malaysia
45147,MLT,Malta
45899,MUS,Mauritius
46638,MEX,Mexico
47454,MDA,Moldova
48203,MNG,Mongolia
48950,MNE,Montenegro
49690,MAR,Morocco
50469,MMR,Myanmar
51199,NPL,Nepal
51991,NLD,Netherlands
52750,NZL,New Zealand
53508,NIC,Nicaragua
54246,NGA,Nigeria
55004,MKD,North Macedonia
55764,NOR,Norway
56525,OMN,Oman
57287,PAK,Pakistan
58048,PAN,Panama
58796,PRY,Paraguay
59546,PER,Peru
60297,PHL,Philippines
61084,POL,Poland
61837,PRT,Portugal
62593,QAT,Qatar
63350,ROU,Romania
64110,RUS,Russia
64896,RWA,Rwanda
65639,SAU,Saudi Arabia
66394,SEN,Senegal
67152,SRB,Serbia
67912,SYC,Seychelles
68654,SGP,Singapore
69448,SVK,Slovakia
70199,SVN,Slovenia
70983,ZAF,South Africa
71762,KOR,South Korea
72557,ESP,Spain
73342,LKA,Sri Lanka
74132,SUR,Suriname
74875,SWE,Sweden
75660,CHE,Switzerland
76421,TWN,Taiwan
77222,TZA,Tanzania
77963,THA,Thailand
78776,TUN,Tunisia
79529,TUR,Turkey
80275,UGA,Uganda
81011,UKR,Ukraine
81765,ARE,United Arab Emirates
82553,GBR,United Kingdom
83339,USA,United States
84134,URY,Uruguay
84878,VEN,Venezuela
85621,VNM,Vietnam
86415,YEM,Yemen
87131,ZMB,Zambia
87870,ZWE,Zimbabwe
