,iso_code,new_cases_smoothed_per_million,tourist_service_index,hcluster,location
0,ALB,86.77000000000001,4.01,1,Albania
1,ARE,98.94550000000001,5.63,4,United Arab Emirates
2,ARG,151.17899999999997,4.53,5,Argentina
3,ARM,119.0265,4.33,5,Armenia
4,AUS,1.075,6.06,2,Australia
5,AUT,168.132,6.66,4,Austria
6,AZE,50.466,3.17,1,Azerbaijan
7,BEL,173.629,5.2,4,Belgium
8,BGD,9.518,1.95,1,Bangladesh
9,BGR,123.269,5.95,4,Bulgaria
10,BHR,186.876,4.56,5,Bahrain
11,BOL,65.393,3.34,1,Bolivia
12,BRA,167.974,4.47,5,Brazil
13,BRB,25.323,4.47,2,Barbados
14,BWA,78.424,3.64,1,Botswana
15,CAN,72.44550000000001,6.08,4,Canada
16,CHE,146.78300000000002,6.2,4,Switzerland
17,CHL,109.647,4.31,5,Chile
18,CHN,0.018,3.51,1,China
19,CMR,2.76,2.2,1,Cameroon
20,COL,132.282,3.82,5,Colombia
21,CRI,182.7045,5.37,4,Costa Rica
22,CYP,202.646,5.65,4,Cyprus
23,DEU,95.52449999999999,5.95,4,Germany
24,DNK,121.2615,4.82,5,Denmark
25,DOM,50.745999999999995,4.82,2,Dominican Republic
26,DZA,5.299,1.84,1,Algeria
27,ECU,50.388000000000005,4.03,1,Ecuador
28,EGY,5.948,3.22,1,Egypt
29,ESP,157.298,6.56,4,Spain
30,EST,246.111,5.41,3,Estonia
31,ETH,3.783,1.73,1,Ethiopia
32,FIN,46.037,4.66,2,Finland
33,FRA,198.03300000000002,5.69,4,France
34,GBR,222.60250000000002,6.1,4,United Kingdom
35,GEO,255.91899999999998,4.89,3,Georgia
36,GHA,3.822,2.31,1,Ghana
37,GRC,158.89499999999998,5.75,4,Greece
38,GTM,41.034,3.78,1,Guatemala
39,HKG,1.059,4.27,2,Hong Kong
40,HND,58.4675,3.44,1,Honduras
41,HRV,138.809,6.48,4,Croatia
42,HUN,105.02799999999999,4.75,5,Hungary
43,IDN,14.889,3.09,1,Indonesia
44,IND,20.665,2.78,1,India
45,IRL,110.0765,5.79,4,Ireland
46,IRN,77.594,2.8,1,Iran
47,ISL,35.8315,6.0,2,Iceland
48,ISR,150.30700000000002,5.44,4,Israel
49,ITA,95.326,6.01,4,Italy
50,JAM,26.232,4.9,2,Jamaica
51,JOR,99.53649999999999,3.84,1,Jordan
52,JPN,9.753499999999999,5.71,2,Japan
53,KAZ,53.127,3.4,1,Kazakhstan
54,KEN,5.066,2.93,1,Kenya
55,KHM,0.4595,3.24,1,Cambodia
56,KOR,10.060500000000001,5.55,2,South Korea
57,KWT,142.8225,3.88,5,Kuwait
58,LBN,134.898,3.96,5,Lebanon
59,LKA,25.179499999999997,3.26,1,Sri Lanka
60,LTU,230.23,4.42,3,Lithuania
61,LUX,198.708,5.93,4,Luxembourg
62,LVA,215.25,4.51,3,Latvia
63,MAR,13.859,3.91,1,Morocco
64,MDA,119.568,2.9,1,Moldova
65,MEX,40.653,4.81,2,Mexico
66,MKD,142.709,3.88,5,North Macedonia
67,MLT,104.631,5.47,4,Malta
68,MMR,5.901,4.47,2,Myanmar
69,MNE,381.452,5.51,3,Montenegro
70,MNG,42.9735,2.89,1,Mongolia
71,MUS,3.814,4.97,2,Mauritius
72,MYS,69.497,4.51,5,Malaysia
73,NGA,0.845,2.49,1,Nigeria
74,NIC,2.067,3.44,1,Nicaragua
75,NLD,256.531,4.84,3,Netherlands
76,NOR,72.16499999999999,5.15,2,Norway
77,NPL,15.8,2.25,1,Nepal
78,NZL,0.808,5.8,2,New Zealand
79,OMN,52.798,4.1,1,Oman
80,PAK,6.871,2.71,1,Pakistan
81,PAN,148.674,4.73,5,Panama
82,PER,91.15,5.34,4,Peru
83,PHL,19.828,3.6,1,Philippines
84,POL,88.813,4.52,5,Poland
85,PRT,98.096,6.7,4,Portugal
86,PRY,81.603,3.23,1,Paraguay
87,QAT,77.558,5.03,2,Qatar
88,ROU,87.035,4.55,5,Romania
89,RUS,106.6615,4.14,5,Russia
90,RWA,4.175,2.31,1,Rwanda
91,SAU,13.901,5.13,2,Saudi Arabia
92,SEN,3.506,3.13,1,Senegal
93,SGP,10.688,5.12,2,Singapore
94,SLV,26.715,3.08,1,El Salvador
95,SRB,228.998,3.91,3,Serbia
96,SUR,85.454,4.47,5,Suriname
97,SVK,224.958,4.42,3,Slovakia
98,SVN,357.4655,5.42,3,Slovenia
99,SWE,96.019,4.77,5,Sweden
100,SYC,300.417,5.36,3,Seychelles
101,THA,3.286,5.95,2,Thailand
102,TUN,75.918,4.14,1,Tunisia
103,TUR,119.926,5.04,5,Turkey
104,TWN,0.174,4.76,2,Taiwan
105,TZA,0.0,2.39,1,Tanzania
106,UGA,1.6764999999999999,2.28,1,Uganda
107,UKR,97.3945,4.29,5,Ukraine
108,URY,56.607,4.82,2,Uruguay
109,USA,187.0485,6.56,4,United States
110,VEN,23.087,2.96,1,Venezuela
111,VNM,0.113,2.85,1,Vietnam
112,YEM,0.234,1.87,1,Yemen
113,ZAF,41.224,4.3,2,South Africa
114,ZMB,6.629,2.52,1,Zambia
115,ZWE,5.784,2.95,1,Zimbabwe
